,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
41,rxn00394_d0,2.8215647,3.2836187,3.091836,3.0805397,3.2443967,0.0
42,rxn00409_d0_f,2.7851205,2.8764155,2.8304262,2.8432226,2.8787253,0.0
43,rxn00414_d0,41.974873,44.69106,43.25455,43.587013,44.341717,0.5934656987665674
44,rxn00420_d0_f,15.784486,13.681386,15.320119,15.287972,14.463612,7.659230369834795
45,rxn00459_d0_f,20.429804,20.03493,20.086859,20.174936,20.02776,19.098484955238046
46,rxn00493_d0_f,0.03960558,0.13098049,0.13370147,0.15295494,0.120573424,0.0
47,rxn00506_d0,0.0,0.0,0.0,0.0,0.0,0.0
48,rxn00527_d0_f,0.041513212,0.10056885,0.0988107,0.11699983,0.09898036,0.0
49,rxn00533_d0_f,1.3061358,1.6811817,1.644675,1.7064656,1.6857098,6.804531368049546
50,rxn00611_d0_f,0.9347809,0.9925523,0.9736018,0.9713023,0.9668616,0.0
51,rxn00689_d0,0.0,0.0,0.0,0.0,0.0,0.0
52,rxn00692_d0_f,2.9346402,2.5388646,2.660593,2.4906707,2.4920805,0.0
53,rxn00693_d0_f,0.83392197,0.83047974,0.9262824,0.94003886,0.8785362,0.1327845627377252
